"nflId","n_routes","displayName","weight","X40yd","X3Cone","Shuttle","total_inches","position_RB","position_TE","position_WR","missing40yd","missing3Cone","missingShuttle"
30842,46,"Marcedes Lewis",2.08510390875372,1.6871323439675,0.960572204031641,3.35003756622124,1.60222686211118,0,1,0,0,0,0
33130,4,"DeSean Jackson",-1.6940000661084,-1.48028398655725,NA,NA,-1.13162249682774,0,0,1,0,1,1
37077,168,"A.J. Green",-0.256297466976072,-0.565252602183431,-0.552193343278076,-0.483410904216627,0.918764522376452,0,0,1,0,0,0
37079,81,"Julio Jones",0.154474704204594,-1.55067101612447,-1.69822784881574,-0.23203723402398,0.577033352509088,0,0,1,0,0,0
37101,63,"Mark Ingram",-0.050911381385739,0.4201658117576,0.456317021595067,2.093169215258,-1.4733536666951,1,0,0,0,0,0
37118,18,"Kyle Rudolph",2.00294947451759,1.89829343266915,NA,NA,1.60222686211118,0,1,0,0,1,1
37139,117,"Randall Cobb",-0.995687375101269,-0.706026661317868,0.227110120487535,0.333553523909475,-1.13162249682774,0,0,1,0,0,0
38696,227,"Marvin Jones",-0.74922407239287,-0.706026661317868,-1.01060714549314,-1.11184507969824,0.235302182641723,0,0,1,0,0,0
38947,10,"Cole Beasley",-1.73507728322647,NA,NA,NA,-1.81508483656247,0,0,1,1,1,1
39212,41,"Brandon Bolden",0.154474704204594,-0.0725433952129187,-0.322986442170544,0.961987699391095,-0.789891326960371,1,0,0,0,0,0
39646,7,"Josh Gordon",0.359860789794926,NA,NA,NA,0.577033352509088,0,0,1,1,1,1
39973,105,"DeAndre Hopkins",-0.174143032739939,0.0682306639215178,NA,1.33904820468006,-0.106428987225642,0,0,1,0,1,0
39975,48,"Cordarrelle Patterson",0.893864612329791,-0.987574779586734,NA,NA,0.235302182641723,1,0,0,0,1,1
39983,314,"Zach Ertz",1.38679121774659,1.40558422569863,0.227110120487535,1.15051795203558,1.26049569224382,0,1,0,0,0,0
39989,148,"Robert Woods",-0.954610157983202,-0.354091513481786,0.547999782038082,1.15051795203558,-0.448160157093007,0,0,1,0,0,0
40011,279,"Travis Kelce",1.79756338892725,0.490552841324815,NA,NA,1.26049569224382,0,1,0,0,1,1
40024,24,"Keenan Allen",-0.215220249858005,0.138617693488733,NA,NA,0.235302182641723,0,0,1,0,1,1
40026,102,"Marquise Goodwin",-1.52969119763613,-2.04338022309499,NA,NA,-1.4733536666951,0,0,1,0,1,1
40129,40,"Latavius Murray",0.565246875385259,NA,NA,NA,0.577033352509088,1,0,0,1,1,1
40138,111,"Rex Burkhead",-0.050911381385739,1.19442313699699,-0.827241624607117,-1.23753191479457,-1.13162249682774,1,0,0,0,0,0
40149,16,"Ryan Griffin",1.59217730333692,NA,NA,NA,1.60222686211118,0,1,0,1,1,1
40488,293,"Adam Thielen",-0.667069638156737,NA,NA,NA,0.235302182641723,0,0,1,1,1,1
41230,118,"Sammy Watkins",-0.215220249858005,-0.917187750019519,-0.368827822392049,0.333553523909475,-0.106428987225642,0,0,1,0,0,0
41233,300,"Mike Evans",0.606324092503325,-0.213317454347349,0.227110120487535,-0.169193816475819,1.26049569224382,0,0,1,0,0,0
41246,214,"Brandin Cooks",-1.36538232916387,-1.62105804569168,-1.23981404660068,-2.99714760614309,-1.13162249682774,0,0,1,0,0,0
41282,282,"Davante Adams",-0.050911381385739,-0.0021563656457036,-0.964765765271634,0.0821798537168276,-0.106428987225642,0,0,1,0,0,0
41290,279,"Allen Robinson",0.154474704204594,0.279391752623163,-0.139620921284518,-1.80312267272802,0.235302182641723,0,0,1,0,0,0
41292,95,"Jarvis Landry",-0.831378506629003,0.631326900459251,NA,NA,-0.789891326960371,0,0,1,0,1,1
41325,158,"Jerick McKinnon",-0.461683552566404,-1.05796180915395,-0.918924385050129,-1.04900166215008,-1.4733536666951,1,0,0,0,0,0
41327,15,"Richard Rodgers",1.67433173757306,2.17984155093802,0.914730823810135,1.15051795203558,0.918764522376452,0,1,0,0,0,0
41349,148,"Logan Thomas",1.38679121774659,NA,NA,NA,1.60222686211118,0,1,0,1,1,1
41500,15,"Willie Snead",-0.461683552566404,0.4201658117576,0.731365302924109,0.647770611650282,-0.789891326960371,0,0,1,0,0,0
41712,5,"Damien Williams",0.31878357267686,-0.28370448391457,-1.10228990593615,-0.29488065157214,-0.789891326960371,1,0,0,0,0,0
